title,url,authors,summary,cite-by
"['Bright vs. blurred boundaries: Second-generation assimilation and exclusion in France, Germany, and the United States']",https://www.tandfonline.com/doi/abs/10.1080/0141987042000280003,"['R Alba\xa0- Ethnic and racial studies, 2005 - Taylor & Francis']","['In all immigration societies, a social distinction between immigrant and second generations,\non the one hand, and natives, on the other, is imposed by the ethnic majority and becomes a …']",['Cited by 2020']
['Strangers no more: Immigration and the challenges of integration in North America and Western Europe'],https://www.torrossa.com/gs/resourceProxy?an=5563680&publisher=FZO137,"['R Alba, N Foner - 2015 - torrossa.com']","['… Richard Alba could not have sustained the lengthy and intensive effort required f or t his b\nook w ithout t he lo ving s upport of G wen M oore, a nd Michael and Sarah Alba. Nancy Foner …']",['Cited by 1002']
['A distorted nation: Perceptions of racial/ethnic group sizes and attitudes toward immigrants and other minorities'],https://academic.oup.com/sf/article-abstract/84/2/901/2235429,"['R Alba, RG Rumbaut, K Marotz\xa0- Social forces, 2005 - academic.oup.com']","['Using a special module (MEUS) of the 2000 General Social Survey, we investigate Americans\nperceptions of the racial and ethnic composition of the United States. We show that, …']",['Cited by 508']
['Ethnic identity: The transformation of white America'],https://books.google.com/books?hl=en&lr=&id=sE6Tz_z5qv8C&oi=fnd&pg=PR9&dq=richard+alba&ots=iBy-DJYzlC&sig=_qIzKY4V1HVyGyKzJ6EuKg36MbA,['RD Alba - 1990 - books.google.com'],"['Ethnicity is a central theme of the American experience. In this book, Richard D. Alba examines\nthe changing role of ethnicity in the lives of Americans from a broad range of European …']",['Cited by 2959']
['Rethinking assimilation theory for a new era of immigration 1'],https://www.taylorfrancis.com/chapters/edit/10.4324/9780203820490-1/rethinking-assimilation-theory-new-era-immigration-1-richard-alba-victor-nee,"['R Alba, V Nee\xa0- The new immigrant in American society, 2014 - taylorfrancis.com']",['Assimilation theory has been subject to intensive critique for decades. Yet no other framework\nhas provided the social science community with as deep a corpus of cumulative findings …'],['Cited by 4666']
['Immigration and the American realities of assimilation and multiculturalism'],https://www.jstor.org/stable/685012,"['R Alba\xa0- Sociological Forum, 1999 - JSTOR']",['Immigration is once again transforming the racial and ethnic contours of American society.\nCurrent estimates place annual immigration (legal and undocumented) to the United States at …'],['Cited by 341']
['Italian Americans: Into the twilight of ethnicity'],https://books.google.com/books?hl=en&lr=&id=ZWreEAAAQBAJ&oi=fnd&pg=PT10&dq=richard+alba&ots=94qa4S1xXJ&sig=z8_trrNe-K6JtkIoRNOmo2xU6S0,['RD Alba - 2023 - books.google.com'],"['… of Sociology “Richard Alba has written an important book... With clarity and precision Alba\ntraces the … Offering a detached, scholarly view of his subject, Alba maintains that ethnic-revival …']",['Cited by 794']
['Only English by the third generation? Loss and preservation of the mother tongue among the grandchildren of contemporary immigrants'],https://read.dukeupress.edu/demography/article-abstract/39/3/467/170527,"['R Alba, J Logan, A Lutz, B Stults\xa0- Demography, 2002 - read.dukeupress.edu']","['We investigate whether a three-generation model of linguistic assimilation, known from\nprevious waves of immigration, can be applied to the descendants of contemporary immigrant …']",['Cited by 819']
['Blurring the color line: The new chance for a more integrated America'],https://books.google.com/books?hl=en&lr=&id=AUiVwEe6Xv4C&oi=fnd&pg=PR9&dq=richard+alba&ots=AmVjM8FNme&sig=UnIIL2zbG2akIypP5KfuYDKa_cg,['R Alba - 2009 - books.google.com'],"['Richard Alba argues that the social cleavages that separate Americans into distinct, unequal\nethno-racial groups could narrow dramatically in the coming decades. During the mid-…']",['Cited by 417']
"['The great demographic illusion: Majority, minority, and the expanding American mainstream']",https://www.degruyterbrill.com/document/doi/10.1515/9780691202112/html,['R Alba - 2020 - degruyterbrill.com'],"['… , Richard Alba looks at how young Americans with this background will play pivotal roles in\nthe country’s demographic future. Assembling a vast body of evidence, Alba … Alba’s portrait …']",['Cited by 254']
